,sum_x,sum_y,差值
,金额,金额,
企业代号,,,
E1,3992611831.75,5661310602.28,-1668698770.5299997
E10,322438933.12,5144536.75,317294396.37
E11,145549218.89,128885801.54,16663417.34999998
E12,193306346.57,84709635.23,108596711.33999999
E13,210632451.39000002,90043081.99,120589369.40000002
E14,209084031.79,111348020.12,97736011.66999999
E15,184013422.1,4238459.0,179774963.1
E16,197754010.68,277180.85,197476829.83
E17,151446752.99,129925840.84,21520912.150000006
E18,184728032.83,125641541.7,59086491.13000001
E19,170531776.21,174845977.29,-4314201.079999983
E2,540906147.8299999,146788715.16,394117432.66999996
E20,178961027.91,166494893.16,12466134.75
E21,117329975.39999999,113616848.15,3713127.249999985
E22,110882351.8,64366958.5,46515393.3
E23,168669042.79,160686996.62,7982046.169999987
E24,134050457.88,73560773.15,60489684.72999999
E25,36982254.99,8860533.47,28121721.520000003
E26,36634498.36,36748379.05,-113880.68999999762
E27,42871866.61,43024608.55,-152741.93999999762
E28,42720007.57,1268365.63,41451641.94
E29,45171435.47,160579.42,45010856.05
E3,554797578.78,51337147.06,503460431.71999997
E30,71493447.69,21148740.990000002,50344706.699999996
E31,46163236.4,4278911.76,41884324.64
E32,44150482.29,2351999.1,41798483.19
E33,65745523.53,64811958.77,933564.7599999979
E34,90156515.43,49163467.48,40993047.95000001
E35,33987132.88,28490999.2,5496133.680000003
E36,35208995.92,19556418.01,15652577.91
E37,40722388.95,41245679.59,-523290.6400000006
E38,48352635.910000004,12119875.870000001,36232760.04000001
E39,29171167.31,350218.91,28820948.4
E4,1839969689.96,219862274.29,1620107415.67
E40,32120513.38,4182540.59,27937972.79
E41,29278354.7,4475567.5,24802787.2
E42,23225710.61,9761.91,23215948.7
E43,18337561.2,3367877.65,14969683.549999999
E44,32155989.97,29352943.6,2803046.3699999973
E45,24516874.66,23845376.53,671498.129999999
E46,57938576.03,49088999.43,8849576.600000001
E47,46079211.04,38471033.97,7608177.07
E48,48183817.7,12133248.73,36050568.97
E49,35148313.1,20625155.36,14523157.740000002
E5,199619265.53,195972888.01,3646377.5200000107
E50,19113678.35,1699224.01,17414454.34
E51,27599207.71,20298379.16,7300828.550000001
E52,18146690.98,15634475.950000001,2512215.0299999993
E53,35969165.35,32639105.099999998,3330060.2500000037
E6,361624327.53000003,300249484.94,61374842.59000003
E7,512310631.52,58307679.96,454002951.56
E8,343938287.84999996,156822600.59,187115687.25999996
E9,298051121.18,23127535.62,274923585.56
