企业代号,购方单位代号,销方单位代号,议价能力
E1,348,425,773
E10,24,881,905
E11,4,434,438
E12,4,382,386
E13,3159,713,3872
E14,820,906,1726
E15,2,33,35
E16,52,77,129
E17,157,861,1018
E18,45,638,683
E19,478,161,639
E2,1546,3539,5085
E20,17,65,82
E21,323,478,801
E22,44,79,123
E23,115,681,796
E24,43,338,381
E25,229,360,589
E26,41,115,156
E27,175,397,572
E28,5,59,64
E29,3,17,20
E3,135,563,698
E30,7,168,175
E31,149,99,248
E32,10,272,282
E33,81,231,312
E34,64,444,508
E35,29,102,131
E36,198,417,615
E37,265,78,343
E38,8,236,244
E39,2,54,56
E4,26,131,157
E40,459,774,1233
E41,13,462,475
E42,26,7,33
E43,5,19,24
E44,27,209,236
E45,63,114,177
E46,138,434,572
E47,719,366,1085
E48,58,227,285
E49,234,672,906
E5,33,364,397
E50,5,66,71
E51,128,61,189
E52,11,119,130
E53,43,62,105
E6,139,1508,1647
E7,1211,1571,2782
E8,2627,2556,5183
E9,121,729,850
