,企业代号,x,x*y,x^2,y,y_sum,k
0,E1,22.0,2885192115.0,554.0,137676270.1,3992611832.0,-0.0005141132573505111
1,E10,18.54545455,146422870.4,443.9393939,9770876.761,322438933.1,-0.0010786713607502474
2,E11,26.25,198286608.7,727.25,7277460.945,145549218.9,0.001304974641611539
3,E12,23.6,274446043.3,607.8666667,12887089.77,193306346.6,-0.003017024399984492
4,E13,18.5,119518664.5,450.1666667,5850901.427,210632451.4,0.0004961115265232256
5,E14,18.5,112019099.0,450.1666667,5807889.772,209084031.8,0.0002026772201680694
6,E15,18.76923077,143310543.3,451.0,7077439.312,184013422.1,0.0005765160660945337
7,E16,18.97142857,108279801.9,462.9142857,5650114.591,197754010.7,5.346767974087603e-05
8,E17,17.5,94988049.99,402.5,4454316.264,151446753.0,0.0011688144063497921
9,E18,18.5,97354385.28,450.1666667,5131334.245,184728032.8,0.000121628961202107
10,E19,17.5,94442033.13,402.5,5015640.477,170531776.2,0.0004062661985078089
11,E2,18.5,333106240.0,450.1666667,15025170.77,540906147.8,0.0009446281769650398
12,E20,18.15151515,105369578.1,437.2424242,5423061.452,178961027.9,0.00035947818185293667
13,E21,19.18181818,91568664.36,477.4848485,3555453.8,117329975.4,0.0018181939186531913
14,E22,17.90909091,78366005.87,414.2121212,3360071.267,110882351.8,0.0017549786294199835
15,E23,17.5,84744091.6,402.5,4960854.2,168669042.8,-0.00012755984148880473
16,E24,19.29411765,91076205.41,474.6470588,3942660.526,134050457.9,0.0010933661507459018
17,E25,20.0,24523461.7,490.6666667,1120674.394,36982254.99,0.0006292685524791892
18,E26,18.0,20206599.59,426.0,1046699.953,36634498.36,0.0003655614717486447
19,E27,18.0,25578549.36,426.0,1224910.475,42871866.61,0.0008072757834577135
20,E28,20.60869565,46758229.58,521.5652174,1857391.633,42720007.57,0.002049600405716677
21,E29,26.53333333,75331100.67,760.8,3011429.031,45171435.47,-0.0017825599905858796
22,E3,18.5,226893428.6,450.1666667,15411043.86,554797578.8,-0.0009722570615332249
23,E30,20.45833333,63211416.93,496.125,2978893.654,71493447.69,0.00040894015587286604
24,E31,18.5,26275572.66,450.1666667,1282312.122,46163236.4,0.0005124266973952315
25,E32,18.93103448,33294501.32,475.8275862,1522430.424,44150482.29,0.0008627109446444032
26,E33,20.0,33117371.69,490.6666667,1992288.592,65745523.53,-0.0011287505484827882
27,E34,18.32352941,55407133.35,447.6764706,2651662.219,90156515.43,0.0006757997517041933
28,E35,17.5,22533891.2,402.5,999621.5553,33987132.88,0.0015408471383527014
29,E36,19.5,24120132.65,465.5,1100281.122,35208995.92,0.0008877532494993516
30,E37,18.5,23630997.1,450.1666667,1131177.471,40722388.95,0.0006153458393426652
31,E38,20.41666667,43261739.37,511.1666667,2014693.163,48352635.91,0.0004666637804824242
32,E39,23.875,28551528.65,628.7916667,1215465.305,29171167.31,-0.0002727836525941775
33,E4,18.8,514305949.3,461.2,52570562.57,1839969690.0,-0.002390721508767371
34,E40,20.0,25753296.97,490.6666667,973348.8903,32120513.38,0.002158570807955967
35,E41,18.5,20129084.37,450.1666667,813287.6306,29278354.7,0.0016088198166977889
36,E42,22.83333333,34256116.42,583.3888889,1290317.256,23225710.61,0.003327600932242528
37,E43,25.92307692,37359046.21,693.4615385,1410581.631,18337561.2,0.0020140872555769445
38,E44,18.5,20245122.97,450.1666667,893221.9436,32155989.97,0.0010721434280306244
39,E45,22.59090909,31196642.86,567.9545455,1114403.394,24516874.66,0.00426342943203181
40,E46,18.5,28110300.07,450.1666667,1609404.89,57938576.03,-0.00026608241251769427
41,E47,18.0,21595320.94,426.0,1316548.887,46079211.04,-0.0004473454149729238
42,E48,18.97142857,35080676.0,462.9142857,1376680.506,48183817.7,0.0018060188899930965
43,E49,18.78571429,24989495.77,474.0,1255296.896,35148313.1,0.0003307636596294806
44,E5,19.9375,152267155.5,499.0,6238102.048,199619265.5,0.0013768116143892117
45,E50,24.38461538,35783605.41,674.3846154,1470282.95,19113678.35,-4.5041305191402435e-05
46,E51,18.5,18058757.72,450.1666667,766644.6586,27599207.71,0.0013013069659676673
47,E52,23.43478261,22660131.9,601.9565217,788986.5643,18146690.98,0.004355261226030319
48,E53,19.73333333,28596010.24,470.3333333,1198972.178,35969165.35,0.0016957700314249038
49,E6,18.5,213974855.1,450.1666667,10045120.21,361624327.5,0.0007210741997663457
50,E7,18.5,208738702.9,450.1666667,14230850.88,512310631.5,-0.000986347256009532
51,E8,18.5,192457345.7,450.1666667,9553841.329,343938287.9,0.0004232944280244185
52,E9,18.5,154203439.2,450.1666667,8279197.811,298051121.2,3.228011543477615e-05
